"Reference","Value","Datasheet","Footprint","Qty","DNP"
"D1","SF30GG","~","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","1",""
"D3","60CPQ150","~","Package_TO_SOT_THT:TO-247-3_Vertical","1",""
"D4","1N4001","~","Diode_THT:D_A-405_P10.16mm_Horizontal","1",""
"D5","D","~","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D6","4V1","~","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D7","D_Ideal","~","IK5PWC:D_IDEAL_with_GND","1",""
"J1","INPUT","~","IK5PWC:Mammooth_4mm","1",""
"J2","BATTERY","~","IK5PWC:Mammooth_4mm","1",""
"J3","OUTPUT","~","IK5PWC:Mammooth_4mm","1",""
"J4","ENABLE","~","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical","1",""
"K1","VEGHA L08A0212VDC","~","IK5PWC:VEGhA L08 12V dc","1",""
"Q1","BC337","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf","Package_TO_SOT_THT:TO-92_Inline_Wide","1",""
"R1","2R7","~","Resistor_THT:R_Axial_Power_L48.0mm_W12.5mm_P55.88mm","1",""
"RV1","10K","~","Potentiometer_THT:Potentiometer_Vishay_T93YA_Vertical","1",""
"SW1","BATTERY START","~","","1",""
